,Unnamed: 0,Item1,Item2,book,chapter,sentences_index,contain_ren,Start,End
0,510,孝,仁,analects,学而,5,True,-480,-350
1,518,弟,仁,analects,学而,5,True,-480,-350
2,525,也,仁,analects,学而,5,True,-480,-350
3,531,者,仁,analects,学而,5,True,-480,-350
4,536,其,仁,analects,学而,5,True,-480,-350
5,540,为,仁,analects,学而,5,True,-480,-350
6,544,仁,之,analects,学而,5,True,-480,-350
7,545,仁,本,analects,学而,5,True,-480,-350
8,546,仁,与,analects,学而,5,True,-480,-350
9,555,巧,仁,analects,学而,6,True,-480,-350
10,560,言,仁,analects,学而,6,True,-480,-350
11,564,令,仁,analects,学而,6,True,-480,-350
12,567,色,仁,analects,学而,6,True,-480,-350
13,569,鲜,仁,analects,学而,6,True,-480,-350
14,570,矣,仁,analects,学而,6,True,-480,-350
15,743,弟子,仁,analects,学而,13,True,-480,-350
16,757,入,仁,analects,学而,13,True,-480,-350
17,770,则,仁,analects,学而,13,True,-480,-350
18,782,孝,仁,analects,学而,13,True,-480,-350
19,793,出,仁,analects,学而,13,True,-480,-350
20,803,则,仁,analects,学而,13,True,-480,-350
21,812,弟,仁,analects,学而,13,True,-480,-350
22,820,谨,仁,analects,学而,13,True,-480,-350
23,827,而,仁,analects,学而,13,True,-480,-350
24,833,信,仁,analects,学而,13,True,-480,-350
25,838,泛,仁,analects,学而,13,True,-480,-350
26,842,爱,仁,analects,学而,13,True,-480,-350
27,845,众,仁,analects,学而,13,True,-480,-350
28,847,而,仁,analects,学而,13,True,-480,-350
29,848,亲,仁,analects,学而,13,True,-480,-350
30,5379,人,仁,analects,八佾,67,True,-480,-350
31,5384,而,仁,analects,八佾,67,True,-480,-350
32,5388,不,仁,analects,八佾,67,True,-480,-350
33,5392,仁,如,analects,八佾,67,True,-480,-350
34,5393,仁,礼,analects,八佾,67,True,-480,-350
35,5394,仁,何,analects,八佾,67,True,-480,-350
36,5400,人,仁,analects,八佾,68,True,-480,-350
37,5405,而,仁,analects,八佾,68,True,-480,-350
38,5409,不,仁,analects,八佾,68,True,-480,-350
39,5413,仁,如,analects,八佾,68,True,-480,-350
40,5414,仁,乐,analects,八佾,68,True,-480,-350
41,5415,仁,何,analects,八佾,68,True,-480,-350
42,7302,里,仁,analects,里仁,100,True,-480,-350
43,7305,仁,为,analects,里仁,100,True,-480,-350
44,7306,仁,美,analects,里仁,100,True,-480,-350
45,7310,择,仁,analects,里仁,101,True,-480,-350
46,7315,不,仁,analects,里仁,101,True,-480,-350
47,7319,处,仁,analects,里仁,101,True,-480,-350
48,7323,仁,焉,analects,里仁,101,True,-480,-350
49,7324,仁,得,analects,里仁,101,True,-480,-350
50,7325,仁,知,analects,里仁,101,True,-480,-350
51,7329,不,仁,analects,里仁,102,True,-480,-350
52,7343,仁,者,analects,里仁,102,True,-480,-350
53,7344,仁,不,analects,里仁,102,True,-480,-350
54,7345,仁,可,analects,里仁,102,True,-480,-350
55,7346,仁,以,analects,里仁,102,True,-480,-350
56,7347,仁,久,analects,里仁,102,True,-480,-350
57,7348,仁,处,analects,里仁,102,True,-480,-350
58,7349,仁,约,analects,里仁,102,True,-480,-350
59,7350,仁,不,analects,里仁,102,True,-480,-350
60,7351,仁,可,analects,里仁,102,True,-480,-350
61,7352,仁,以,analects,里仁,102,True,-480,-350
62,7353,仁,长,analects,里仁,102,True,-480,-350
63,7354,仁,处,analects,里仁,102,True,-480,-350
64,7355,仁,乐,analects,里仁,102,True,-480,-350
65,7434,仁,者,analects,里仁,103,True,-480,-350
66,7435,仁,安,analects,里仁,103,True,-480,-350
67,7436,仁,仁,analects,里仁,103,True,-480,-350
68,7437,仁,知,analects,里仁,103,True,-480,-350
69,7438,仁,者,analects,里仁,103,True,-480,-350
70,7439,仁,利,analects,里仁,103,True,-480,-350
71,7440,仁,仁,analects,里仁,103,True,-480,-350
72,7442,者,仁,analects,里仁,103,True,-480,-350
73,7446,者,仁,analects,里仁,103,True,-480,-350
74,7447,安,仁,analects,里仁,103,True,-480,-350
75,7451,安,仁,analects,里仁,103,True,-480,-350
76,7452,仁,知,analects,里仁,103,True,-480,-350
77,7453,仁,者,analects,里仁,103,True,-480,-350
78,7454,仁,利,analects,里仁,103,True,-480,-350
79,7455,仁,仁,analects,里仁,103,True,-480,-350
80,7458,知,仁,analects,里仁,103,True,-480,-350
81,7460,者,仁,analects,里仁,103,True,-480,-350
82,7461,利,仁,analects,里仁,103,True,-480,-350
83,7462,唯,仁,analects,里仁,104,True,-480,-350
84,7470,仁,者,analects,里仁,104,True,-480,-350
85,7471,仁,能,analects,里仁,104,True,-480,-350
86,7472,仁,好,analects,里仁,104,True,-480,-350
87,7473,仁,人,analects,里仁,104,True,-480,-350
88,7474,仁,能,analects,里仁,104,True,-480,-350
89,7475,仁,恶,analects,里仁,104,True,-480,-350
90,7476,仁,人,analects,里仁,104,True,-480,-350
91,7500,苟,仁,analects,里仁,105,True,-480,-350
92,7506,志,仁,analects,里仁,105,True,-480,-350
93,7511,于,仁,analects,里仁,105,True,-480,-350
94,7516,仁,矣,analects,里仁,105,True,-480,-350
95,7517,仁,无,analects,里仁,105,True,-480,-350
96,7518,仁,恶,analects,里仁,105,True,-480,-350
97,7519,仁,也,analects,里仁,105,True,-480,-350
98,8193,君子,仁,analects,里仁,107,True,-480,-350
99,8198,去,仁,analects,里仁,107,True,-480,-350
100,8203,仁,恶,analects,里仁,107,True,-480,-350
101,8204,仁,乎,analects,里仁,107,True,-480,-350
102,8205,仁,成,analects,里仁,107,True,-480,-350
103,8206,仁,名,analects,里仁,107,True,-480,-350
104,8219,君子,仁,analects,里仁,108,True,-480,-350
105,8235,无,仁,analects,里仁,108,True,-480,-350
106,8250,终,仁,analects,里仁,108,True,-480,-350
107,8264,食,仁,analects,里仁,108,True,-480,-350
108,8277,之,仁,analects,里仁,108,True,-480,-350
109,8289,间,仁,analects,里仁,108,True,-480,-350
110,8300,违,仁,analects,里仁,108,True,-480,-350
111,8311,仁,造,analects,里仁,108,True,-480,-350
112,8312,仁,次,analects,里仁,108,True,-480,-350
113,8313,仁,必,analects,里仁,108,True,-480,-350
114,8314,仁,于,analects,里仁,108,True,-480,-350
115,8315,仁,是,analects,里仁,108,True,-480,-350
116,8316,仁,颠,analects,里仁,108,True,-480,-350
117,8317,仁,沛,analects,里仁,108,True,-480,-350
118,8318,仁,必,analects,里仁,108,True,-480,-350
119,8319,仁,于,analects,里仁,108,True,-480,-350
120,8320,仁,是,analects,里仁,108,True,-480,-350
121,8369,我,仁,analects,里仁,109,True,-480,-350
122,8373,我,仁,analects,里仁,109,True,-480,-350
123,8377,未,仁,analects,里仁,109,True,-480,-350
